Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
MODELS-13,Epoch AI — Published Visualizations,"Parameters against training compute, notable AI models",,"Epoch's figure with a metric on both axes rather than a date: parameters against training compute, coloured by domain.
Note — 471 of 1,043 notable models record both values; the two are not independent, since some compute figures are derived from parameter counts","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D01,Derived Analysis,Compute doubles twice as fast as the money and power behind it,,"Doubling times for every quantity the notable release measures, fitted over the deep learning era and ranked.
Note — Each bar is fitted over a different subset — only the models recording that metric — and the r² is printed beside it","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),One fitted trend per metric,,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D02,Derived Analysis,The United States publishes most notable models; China is the only close second,,"Notable models published each year by the country of the building organisation, from 2012.
Note — Counts of models Epoch judged notable, an editorial threshold rather than a census, and the final year is partial","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, aggregated to publication year",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D03,Derived Analysis,A handful of industry labs account for most notable models,,"The 20 organisations credited on the most notable models, coloured by sector, with each one's largest recorded training run.
Note — Credit goes to the organisation listed first, which understates university involvement in co-published work","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),One row per organisation,,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D04,Derived Analysis,"Notable models moved from academia to industry, and stayed there",,"The share of each year's notable models coming from industry, academia, and the two working together.
Note — Every column is 100% of a different base; the count behind each is printed above it","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, aggregated to publication year",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D05,Derived Analysis,Fewer models stay unreleased; access increasingly runs through an API,,"How each year's notable models were released — open weights, API, hosted access, or never released.
Note — Accessibility is recorded as of Epoch's last update to the row, so a model whose licence changed later still shows its recorded state","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, aggregated to publication year",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D06,Derived Analysis,Each accelerator generation carries the frontier for about three years,,"The training hardware recorded for each year's notable models, grouped into accelerator families.
Note — Hardware is recorded for 365 of 1,043 notable models, so this is a sample of the fleet and not a census","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, aggregated to publication year",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D07,Derived Analysis,"Chip count explains part of the compute gap, but not most of it",,"Accelerators used against the compute the run produced, for every notable model recording both.
Note — Chip count is sometimes the cluster size rather than the number used, so the horizontal axis is an upper bound","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D08,Derived Analysis,"Cost tracks compute, but spans three orders of magnitude at any scale",,"Recorded training cost against recorded training compute, with the median rate drawn through it.
Note — The median rate is a summary of the middle of the cloud, not a price; the cost figures are estimates for most rows","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D09,Derived Analysis,"Compute per dollar rises with each chip generation, unevenly",,"Compute bought per dollar of hardware against the release date of the chip each frontier model trained on.
Note — A specification ratio from peak throughput and list price, not realised performance — real utilisation runs 30-50% of peak","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (frontier_ai_models.csv),"One row per model, at its hardware's release date",,"137 models in the release, 126 with training compute; published 1950-07-02 to 2025-07-09",frontier_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D10,Derived Analysis,Language and multimodal models took over from vision after 2020,,"What each year's notable models were built to do, by domain.
Note — A multi-domain model is counted once, under Multimodal where tagged and otherwise under the first domain listed","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, aggregated to publication year",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-D11,Derived Analysis,Most models record what they are; far fewer record what they cost,,"The share of each Epoch release that records each field — the ceiling on every other chart in this domain.
Note — Two fields are not published at all in the large-scale release and are marked as such rather than shown as zero","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (all four releases),One row per field and release,,"notable: 1,043; frontier: 137; large_scale: 524; all: 3,574",notable_ai_models.csv + frontier_ai_models.csv + large_scale_ai_models.csv + all_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
