series,hour_utc,pct_of_peak,is_peak,observation_type,color,source_name,source_link
China,10,81,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,11,77,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,12,74,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,13,68,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,14,58,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,15,45,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,16,32,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,17,26,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,18,23,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,19,21,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,20,19,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,21,23,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,22,32,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,23,55,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,0,75,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,1,78,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,2,76,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,3,73,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,4,68,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,5,66,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,6,70,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,7,77,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,8,82,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,9,85,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,10,87,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,11,90,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,12,96,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,13,100,True,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,14,97,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,15,90,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,16,82,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,17,75,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,18,67,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,19,60,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,20,52,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,21,50,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,22,52,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
Global,23,64,False,stylized model (not measured hourly tokens),#2440ff,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,0,59,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,1,53,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,2,44,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,3,34,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,4,28,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,5,25,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,6,24,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,7,25,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,8,26,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,9,28,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,10,34,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,11,44,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,12,59,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,13,78,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,14,91,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,15,97,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,16,100,True,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,17,99,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,18,94,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,19,88,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,20,81,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,21,75,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,22,69,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
United States,23,66,False,stylized model (not measured hourly tokens),#10a37f,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
