id,title,megawatts,primary_company,companies,continent,country,region,city,status_class,status_raw,energy_class,energy_raw,focus_class,focus_raw,start_year,lat,lng,geo_precision,source_url
galaxy-data-center-rayong-1gw-ai-hub-thailand,Galaxy Data Center Banchang Rayong Campus,404.0,Galaxy Data Center,Galaxy Data Center; Hoyinn Technologies; Galaxy Peak Data Center,Asia,Thailand,Rayong,Ban Chang,Planned,planned Rayong / Ban Chang campus,Renewable,Galaxy describes a green energy synergy cluster; trade coverage reports a photovoltaic power plant will be developed at the site.,AI (unspecified),Hyperscale AI and high-density computing campus in Rayong,2025,12.6786,101.0671,city,https://www.galaxy-dc.com/;
bytedance-thailand-ai-data-hub,ByteDance — Thailand AI Data Hub,400.0,ByteDance,ByteDance; TikTok,Asia,Thailand,Bangkok / Chonburi,Bangkok,Under construction,under_construction,Mixed,Mixed,Inference,"Inference (TikTok AI, Content Recommendation)",2025,13.7563,100.5018,exact,https://www.reuters.com/technology/tiktok-invest-38-bln-thailand-data-centers-2024-06-12/;
huawei-cloud-guizhou-ai-data-center-china,Huawei Cloud — Guizhou AI Data Center,400.0,Huawei,Huawei Cloud,Asia,China,Guizhou,Guiyang,Operational,operational,Renewable,Hydropower,Training & inference,"Training (Pangu models), Inference, Sovereign AI Cloud",2021,26.5982,106.7076,exact,https://www.huaweicloud.com/intl/en-us/about/data-centers.html;
ntt-telangana-ai-data-center-cluster-india,NTT Data / Neysa Telangana AI Data Center Cluster,400.0,NTT Data,NTT Data; Neysa Networks; Government of Telangana,Asia,India,Telangana / Hyderabad,Hyderabad,Announced,announced MoU-backed AI data-center cluster,Unknown,Unknown; opened MoU coverage does not disclose source-backed facility energy procurement,HPC,"AI supercomputing infrastructure, 25,000 GPUs, sovereign/enterprise AI workloads",2025,17.385,78.487,exact,https://w.media/ntt-data-neysa-networks-and-telangana-govt-sign-mou-with-to-build-ai-dc-cluster-worth-rs-10500-crores/;
aws-singapore-ap-southeast-1,Amazon Web Services — AP-SOUTHEAST-1 Singapore Region,350.0,Amazon,Amazon Web Services,Asia,Singapore,Central Region,Singapore,Operational,operational,Grid,Grid (SP Group — Singapore national grid),Inference,"General Cloud + AI Inference (Bedrock, SageMaker SEA, APAC AI hub)",2010,1.352,103.82,exact,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;
airtrunk-tok1-ai-expansion-tokyo,AirTrunk — TOK1 AI Expansion (Tokyo),300.0,AirTrunk,AirTrunk,Asia,Japan,Chiba,Inzai,Under construction,under_construction,Renewable,Renewable,General cloud,General Cloud,,35.833,140.133,exact,https://airtrunk.com/airtrunk-secures-landmark-green-loan-for-japan-expansion/
aws-malaysia-cloud-region,AWS — Malaysia Cloud Region (Cyberjaya),300.0,Amazon,Amazon Web Services,Asia,Malaysia,Greater Kuala Lumpur,Cyberjaya,Operational,operational,Mixed,Mixed (Grid with renewable projects),Training & inference,"Inference and Training (Trainium, Inferentia, Graviton)",2024,2.9228,101.6575,exact,https://aws.amazon.com/about-aws/whats-new/2024/08/aws-launches-asia-pacific-malaysia-region/;
google-changhua-ai-data-center-taiwan,Google — Changhua AI Data Center,300.0,Google,Google,Asia,Taiwan,Changhua County,Changhua City,Operational,operational,Renewable,Renewable,Training & inference,Training and Inference,,24.051,120.433,exact,https://www.mingtiandi.com/real-estate/data-centers/google-takes-300mw-taiwan-solar-stake-as-asia-data-center-demand-spikes/
microsoft-malaysia-ai-cloud,Microsoft — Malaysia AI Cloud,300.0,Microsoft,Microsoft,Asia,Malaysia,Greater Kuala Lumpur / Johor,Kuala_Lumpur,Operational,operational,Mixed,Mixed,Training & inference,Inference and Training (Azure AI),2024,3.139,101.6869,exact,https://news.microsoft.com/en-my/2024/05/02/microsoft-announces-us2-2-billion-investment-to-advance-malaysias-cloud-and-ai-ambitions/
softbank-tomakomai-ai-data-center-japan,SoftBank Tomakomai AI Data Center (Japan),300.0,SoftBank Corp.,SoftBank Corp.; NVIDIA,Asia,Japan,"Tomakomai, Hokkaido",Tomakomai,Under construction,under_construction,Renewable,100% renewable (local wind/cool climate),AI (unspecified),"Sovereign AI (NVIDIA Blackwell, AI-RAN)",2026,42.636,141.603,exact,https://nvidianews.nvidia.com/news/softbank-nvidia-sovereign-ai-japan;
aws-indonesia-cloud-region,AWS — Indonesia Cloud Region (Jakarta),250.0,Amazon,Amazon Web Services,Asia,Indonesia,Jakarta,Jakarta,Operational,operational,Mixed,Mixed,Training & inference,"Inference and Training (Trainium, Inferentia)",2021,-6.2088,106.8456,exact,https://aws.amazon.com/about-aws/whats-new/2021/12/aws-launches-asia-pacific-jakarta-region/;
aws-seoul-ap-northeast-2-south-korea,Amazon Web Services — Seoul Region (AP Northeast 2),250.0,Amazon,Amazon Web Services,Asia,South Korea,Seoul Capital Area,Seoul,Operational,operational,Mixed,Mixed (renewable targets),Training,"SageMaker, Bedrock, Trainium, enterprise AI",2016,37.5665,126.978,exact,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;
damac-laguna-ai-data-center-philippines,DAMAC — Laguna AI Data Center,250.0,DAMAC Digital,DAMAC Digital,Asia,Philippines,Laguna,Biñan,Planned,planned,Unknown,Unknown,Unknown,Unknown,,14.333,121.083,exact,https://www.abs-cbn.com/news/2026/1/22/damac-digital-to-build-250mw-data-center-in-philippines
ntt-data-ai-singapore-hyperscale,NTT DATA — Singapore Hyperscale AI Campus,250.0,NTT DATA,NTT DATA; NTT Ltd.,Asia,Singapore,Jurong,Singapore,Operational,operational,Mixed,Mixed (grid),Inference,General Cloud + AI Inference (ASEAN region),2020,1.32,103.7,exact,https://www.nttdata.com/global/en/services/infrastructure/data-centers;
true-internet-dc-thailand-ai-campus,True Internet DC — Thailand AI Campus,223.0,True Internet Data Center,True Internet Data Center,Asia,Thailand,Chonburi,Chonburi,Planned,planned,Unknown,Unknown,Training & inference,Training and Inference,,13.361,100.985,exact,https://www.bangkokpost.com/business/2723456/true-idc-to-build-3-billion-baht-ai-data-center
google-cloud-malaysia-ai-data-center,Google Cloud Malaysia AI Data Center (Johor Bahru),220.0,Google,Google,Asia,Malaysia,"Johor Bahru, Malaysia",Johor Bahru,Under construction,under_construction,Renewable,Grid with renewable energy targets,Inference,"Inference (Gemini API, Vertex AI) and cloud workloads",2024,1.4927,103.7414,exact,https://cloud.google.com/blog/topics/infrastructure/google-cloud-to-invest-2-billion-in-malaysia
google-singapore-ai-data-center,Google — Singapore AI Data Center (Asia-Southeast1),220.0,Google,Google,Asia,Singapore,Jurong West,Singapore,Operational,operational,Renewable,Grid (SP Group) + Renewable energy certificates,Training & inference,"Inference (Google Cloud SEA, Search APAC, YouTube, Translate), Training",2013,1.339,103.708,exact,https://cloud.google.com/about/locations/singapore;
aws-thailand-cloud-region,AWS — Thailand Cloud Region (Asia Pacific),200.0,Amazon,Amazon Web Services,Asia,Thailand,Bangkok / Chonburi,Bangkok,Operational,operational,Mixed,Mixed,Training & inference,"Inference and Training (Trainium, Inferentia)",2025,13.7563,100.5018,exact,https://aws.amazon.com/about-aws/whats-new/2025/01/aws-launches-asia-pacific-thailand-region/;
google-south-korea-ai-data-center,Google Cloud — South Korea (Seoul) Region,200.0,Google,Google,Asia,South Korea,Seoul Capital Area,Seoul,Operational,operational,Mixed,Mixed (renewable targets),General cloud,"Google Cloud AI, Vertex AI, Gemini API",2020,37.5665,126.978,exact,https://cloud.google.com/about/locations;
microsoft-azure-south-korea-ai-region,Microsoft Azure — Korea Central Region (Seoul),200.0,Microsoft,Microsoft,Asia,South Korea,Seoul,Seoul,Operational,operational,Mixed,Mixed (KEPCO grid with renewable energy certificates),Inference,"Inference (Azure OpenAI Service Korea, Copilot, Samsung/Hyundai enterprise AI)",2017,37.566,126.978,exact,https://azure.microsoft.com/en-us/global-infrastructure/regions/#regions;
microsoft-indonesia-jakarta-ai-cloud,Microsoft — Indonesia AI Cloud,200.0,Microsoft,Microsoft,Asia,Indonesia,Jakarta,Jakarta,Planned,planned,Mixed,Mixed,Inference,Inference and Cloud Workloads (Azure AI),2024,-6.2088,106.8456,exact,https://news.microsoft.com/2024/04/30/microsoft-announces-1-7-billion-investment-to-advance-indonesias-cloud-and-ai-ambitions/
microsoft-taiwan-north-ai-cloud-region,Microsoft Taiwan North AI Cloud Region,200.0,Microsoft,Microsoft,Asia,Taiwan,Taiwan North,Taipei,Planned,planned,Renewable,Renewable (Utility PPA),Inference,AI Inference and Real-Time AI,2026,25.033,121.567,exact,https://news.microsoft.com/en-tw/reimagine-taiwan-microsoft-azure-region;
sgi-hcm-ai-data-center-vietnam,SGI-HCM AI Data Center Campus,200.0,Accelerated Infrastructure Capital (AIC) & Kinh Bac City (KBC),Accelerated Infrastructure Capital (AIC) & Kinh Bac City (KBC),Asia,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Planned,planned,Unknown,Unknown,Unknown,Unknown,,10.823,106.629,exact,https://www.vir.com.vn/21-billion-ai-data-center-to-break-ground-in-ho-chi-minh-city-110432.html
reliance-jio-jamnagar-ai-mega-campus-india,Reliance / Meta Jamnagar AI Data Center,168.0,Reliance Industries,Reliance Industries; Jio; Meta,Asia,India,Gujarat / Jamnagar,Jamnagar,Planned,planned built-to-suit AI data center; RIL says 168 MW to be delivered within two years from June 2026,Renewable,Renewable energy with desalinated seawater cooling according to RIL's June 2026 release,AI (unspecified),"AI-enabled hyperscale data center leased by Meta for global infrastructure, core business, and AI compute needs",2026,22.471,70.057,exact,https://www.ril.com/sites/default/files/2026-06/10062026_MR_Reliance_and_Meta_to_Develop_AI-Enabled_Data_Centre_in_Jamnagar_Gujarat.pdf;
alibaba-cloud-singapore-ai-region,Alibaba Cloud — Singapore AI Region,150.0,Alibaba,Alibaba Cloud,Asia,Singapore,Jurong,Singapore,Operational,operational,Mixed,Mixed,Inference,"Inference (Qwen AI models, ASEAN enterprise cloud)",2015,1.3521,103.8198,exact,https://www.alibabacloud.com/global-locations/singapore;
aws-osaka-ap-northeast-3-japan,Amazon Web Services — Osaka Region (AP Northeast 3),150.0,Amazon,Amazon Web Services,Asia,Japan,Kansai,Osaka,Operational,operational,Mixed,Mixed (renewable targets),Inference,"Disaster recovery, AI inference, regional cloud",2021,34.6937,135.5023,exact,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;
softbank-sakai-ai-data-center-osaka,SoftBank — Sakai AI Data Center,150.0,SoftBank,SoftBank,Asia,Japan,Osaka,Sakai,Under construction,under_construction,Unknown,Unknown,General cloud,General Cloud,,34.573,135.483,exact,https://group.softbank/en/news/press/20240510
edgnex-jakarta-ai-data-center-indonesia,EDGNEX — Jakarta AI Data Center,144.0,EDGNEX by DAMAC,EDGNEX by DAMAC,Asia,Indonesia,Jakarta,Jakarta,Under construction,under_construction,Unknown,Unknown,General cloud,General Cloud,,-6.208,106.845,exact,https://www.rcrwireless.com/20240122/edgnex-by-damac-to-build-144mw-data-center-in-jakarta
viettel-tan-phu-trung-ai-data-center-vietnam,Viettel — Tan Phu Trung AI Data Center,140.0,Viettel Group,Viettel Group,Asia,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Under construction,under_construction,Unknown,Unknown,Training & inference,Training and Inference,,10.912,106.529,exact,https://www.vir.com.vn/viettel-to-build-140mw-data-center-in-tan-phu-trung-industrial-park-110432.html
oracle-ais-cloud-thailand-sovereign-region,Oracle — AIS Cloud (Thailand) Sovereign Region,120.0,Oracle,Oracle; AIS (Advanced Info Service),Asia,Thailand,Bangkok,Bangkok,Operational,operational,Mixed,Mixed,General cloud,Sovereign AI and Cloud Services,2025,13.7563,100.5018,exact,https://www.oracle.com/news/announcement/ais-oracle-sovereign-cloud-thailand-2025-07-15/;
sk-aws-ulsan-ai-data-center-south-korea,SK Group-AWS Ulsan AI Data Center,103.0,SK Group,SK Group; SK Telecom; SK Broadband; SK Ecoplant; Amazon Web Services,Asia,South Korea,Ulsan,Ulsan,Under construction,groundbreaking held August 2025; operations expected from 2027,Gas,SK and trade sources describe Ulsan as selected for access to large-scale electricity and SK Gas / SK multi utility LNG combined heat and power infrastructure.,AI (unspecified),SK Group and AWS AI Zone data center in Ulsan,2025,35.5384,129.3114,exact,https://eng.sk.com/news/sk-group-and-aws-team-up-to-build-cloud-computing-infrastructure-to-support-ai-innovation;
aws-hong-kong-cloud-region-ai-expansion,AWS — Hong Kong Cloud Region (AI Expansion),100.0,Amazon,Amazon Web Services,Asia,Hong Kong,Hong Kong,Hong Kong,Operational,operational,Mixed,Mixed (Grid with recycled water cooling),Training & inference,"Inference and Training (Trainium, Inferentia, GB200)",2019,22.3193,114.1694,exact,https://aws.amazon.com/about-aws/whats-new/2025/05/aws-cyberport-launch-joint-innovation-center-hong-kong/;
deepseek-ai-cluster-china,DeepSeek — AI Training Cluster,100.0,DeepSeek,DeepSeek; High-Flyer Quant,Asia,China,Zhejiang,Hangzhou,Operational,operational,Mixed,Mixed,Training,"Training (DeepSeek R1, V3 LLMs)",2023,30.2741,120.1551,exact,https://www.deepseek.com/;
epldt-vitro-general-trias-ai-campus,ePLDT VITRO — General Trias AI Campus,100.0,ePLDT / VITRO Inc.,ePLDT / VITRO Inc.,Asia,Philippines,Cavite,General Trias,Planned,planned,Unknown,Unknown,Inference,Inference,,14.383,120.883,exact,https://www.lightreading.com/ai-machine-learning/epldt-to-start-construction-of-100mw-ai-data-center-in-cavite
google-chonburi-thailand-ai-data-center,Google — Chonburi (Thailand) AI Data Center,100.0,Google,Google,Asia,Thailand,Chonburi Province,Chonburi,Planned,planned,Mixed,Mixed (Grid with renewable targets),Training & inference,Inference and Training (TPU clusters),2024,13.3611,100.9847,exact,https://blog.google/around-the-globe/google-asia/google-investment-thailand/;
google-cloud-indonesia-jakarta,Google Cloud — Indonesia (Jakarta),100.0,Google,Google,Asia,Indonesia,Jakarta,Jakarta,Operational,operational,Mixed,Mixed,General cloud,"AI cloud services, Southeast Asian AI workloads, Gemini",2021,-6.2088,106.8456,exact,https://cloud.google.com/about/locations#asia-pacific
microsoft-thailand-eec-ai-data-center,Microsoft — Thailand AI Data Center,100.0,Microsoft,Microsoft,Asia,Thailand,Eastern Economic Corridor (EEC),Chonburi,Planned,planned,Mixed,Mixed,Inference,Inference and Cloud Workloads,2024,13.3611,100.9847,exact,https://news.microsoft.com/en-th/2024/05/01/microsoft-announces-first-datacenter-region-and-new-ai-skilling-opportunities-in-thailand/
naver-chuncheon-ai-data-center-south-korea,Naver — Chuncheon Data Center (Gak),100.0,Naver,Naver,Asia,South Korea,Gangwon,Chuncheon,Operational,operational,Renewable,"Renewable (wind, solar)",Training,"HyperCLOVA X training, search AI, Korean NLP",2013,37.8813,127.7298,exact,https://www.ncloud.com/product/data-center/dataCenterGak;
naver-spring-cloud-ai-data-center-south-korea,NAVER — Spring Cloud AI Data Center,100.0,Naver,Naver,Asia,South Korea,Gangwon,Chuncheon,Operational,operational,Mixed,Mixed,Training & inference,"Training (HyperCLOVA X LLMs), Inference",2013,37.8813,127.7298,exact,https://www.navercorp.com/technology/tech-cloud;
nvidia-foxconn-kaohsiung-ai-factory-taiwan,Nvidia & Foxconn — Kaohsiung AI Factory,100.0,Foxconn (Hon Hai Technology Group) & NVIDIA,Foxconn (Hon Hai Technology Group) & NVIDIA,Asia,Taiwan,Kaohsiung,Kaohsiung,Under construction,under_construction,Unknown,Unknown,HPC,HPC / Supercomputing,,22.627,120.301,exact,https://www.businesstimes.com.sg/international/nvidia-foxconn-partner-build-taiwans-largest-ai-supercomputing-centre
oracle-cloud-japan-east-tokyo,Oracle Cloud — Japan East (Tokyo),100.0,Oracle,Oracle,Asia,Japan,Kanto,Tokyo,Operational,operational,Mixed,Mixed (renewable targets),AI (unspecified),"OCI AI, Oracle Database AI, enterprise AI workloads",2019,35.6762,139.6503,exact,https://www.oracle.com/cloud/public-cloud-regions/;
oracle-japan-ai-cloud-region,Oracle Cloud — Japan East AI Region (Tokyo),100.0,Oracle,Oracle,Asia,Japan,Kanto,Tokyo,Operational,operational,Mixed,Mixed,Training & inference,"Training, Inference (OCI GPU clusters, enterprise AI)",2019,35.6762,139.6503,exact,https://www.oracle.com/cloud/public-cloud-regions/;
volcengine-bytedance-ai-training-china,Volcengine Inner Mongolia Horinger Computing Center,100.0,ByteDance,ByteDance; Volcengine,Asia,China,Inner Mongolia,Horinger,Under construction,"construction started in November 2024, with Phase 1 planned for delivery from December 2025",Renewable,Horinger New Area is positioned as a green computing and AI industry cluster; delivered project energy mix is not fully disclosed.,General cloud,"Volcengine computing-center infrastructure for large-scale data analysis, storage, and cloud/AI services",2024,40.2952,111.9045,city,https://www.dtdata.cn/news/show/2643.html;
alibaba-cloud-japan-ai-region,Alibaba Cloud — Japan Region (Tokyo),80.0,Alibaba,Alibaba Cloud,Asia,Japan,Kanto,Tokyo,Operational,operational,Mixed,Mixed,Inference,"Alibaba AI Platform PAI, LLM inference, Japanese enterprise AI",2016,35.6762,139.6503,exact,https://www.alibabacloud.com/global-locations/japan;
kakao-ai-data-center-south-korea,Kakao — KakaoCloud AI Data Center,80.0,Kakao,Kakao; Kakao Cloud,Asia,South Korea,Chungcheongnam-do,Ansan,Operational,operational,Mixed,Mixed,Inference,"Inference (KoGPT, AI services for Kakao platform)",2022,37.3219,126.8309,exact,https://cloud.kakao.com/;
oracle-cloud-south-korea-seoul,Oracle Cloud — South Korea (Seoul),80.0,Oracle,Oracle,Asia,South Korea,Seoul Capital Area,Seoul,Operational,operational,Mixed,Mixed,AI (unspecified),"OCI AI, Oracle Autonomous Database, enterprise AI",2020,37.5665,126.978,exact,https://www.oracle.com/cloud/public-cloud-regions/;
tencent-cloud-ai-data-center-southeast-asia,Tencent Cloud — Southeast Asia AI Region (Singapore),80.0,Tencent,Tencent,Asia,Singapore,Singapore,Singapore,Operational,operational,Grid,Grid,Training & inference,"Training, Inference (Tencent AI, Hunyuan LLM)",2014,1.34,103.87,exact,https://intl.cloud.tencent.com/document/product/213/6091;
google-cloud-philippines-manila,Google Cloud — Philippines (Manila),60.0,Google,Google,Asia,Philippines,Metro Manila,Manila,Operational,operational,Mixed,Mixed,General cloud,"AI cloud services, BPO AI, Southeast Asian enterprise workloads",2024,14.5995,120.9842,exact,https://cloud.google.com/about/locations#asia-pacific
yotta-d2-greater-noida-ai-supercluster,Yotta D2 / NVIDIA Blackwell AI Supercluster (Greater Noida),60.0,Yotta Data Services,Yotta Data Services; NVIDIA,Asia,India,Uttar Pradesh / Greater Noida,Greater Noida,Under construction,under construction / planned AI supercluster; expected go-live by August 2026,Unknown,Unknown facility-specific delivered energy mix; opened sources emphasize high-density AI infrastructure but do not disclose procurement terms for D2,Training & inference,"Blackwell Ultra GPU supercluster, NVIDIA DGX Cloud, Shakti Cloud, sovereign AI training and inference",2026,28.474,77.503,exact,https://yotta.com/press-releases/yotta-to-deploy-20000-nvidia-blackwell-ultra-gpus/;
aws-taipei-ai-region-taiwan,AWS — Taipei AI Region,50.0,Amazon,Amazon Web Services,Asia,Taiwan,Taipei,Taipei,Operational,operational,Unknown,Unknown,Training & inference,Training and Inference,,25.038,121.564,exact,https://w.media/aws-launches-taiwan-region-pledges-5b-investment/
cyberport-ai-supercomputing-centre-hong-kong,Cyberport AI Supercomputing Centre (AISC) — Hong Kong,50.0,Cyberport,Cyberport; HKSAR Government; NVIDIA (Hardware partner),Asia,Hong Kong,Hong Kong Island,Cyberport,Operational,operational,Grid,Grid,AI (unspecified),National AI R&D and Startup Hub,2024,22.2611,114.1297,exact,https://www.cyberport.hk/en/about_cyberport/cyberport_partners/ai_supercomputing_centre;
microsoft-azure-vietnam-hanoi,Microsoft Azure — Vietnam (Hanoi / Ho Chi Minh City),50.0,Microsoft,Microsoft,Asia,Vietnam,Hanoi,Hanoi,Planned,planned,Mixed,Mixed,AI (unspecified),"Azure AI services, Southeast Asian AI expansion",2026,21.0285,105.8542,exact,https://news.microsoft.com/apac/2024/05/03/microsoft-commits-1-5-billion-ai-investment-in-indonesia/
singtel-nvidia-singapore-ai-hub,Singtel & NVIDIA — Singapore AI Hub,50.0,Singtel & NVIDIA,Singtel & NVIDIA,Asia,Singapore,Singapore,Singapore,Operational,operational,Renewable,Renewable,General cloud,General Cloud,,1.283,103.851,exact,https://www.singtel.com/about-us/media-centre/press-release/singtel-and-nvidia-partner-to-bring-ai-to-enterprises
microsoft-vietnam-ai-cloud-region,Microsoft — Vietnam AI Cloud Region,40.0,Microsoft,Microsoft,Asia,Vietnam,Hanoi / Ho Chi Minh City,Hanoi,Planned,planned,Mixed,Mixed,Inference,General Cloud + AI Inference,2025,21.0278,105.8342,exact,https://news.microsoft.com/apac/2024/02/microsoft-investment-vietnam/;
naver-b200-4k-ai-cluster-south-korea,Naver — B200 4K AI Cluster,40.0,Naver Cloud,Naver Cloud,Asia,South Korea,Sejong,Sejong,Operational,operational,Unknown,Unknown,Training,Training,,36.483,127.286,exact,https://www.thelec.net/news/articleView.html?idxno=4821
equinix-sg6-singapore-ai-data-center,Equinix — SG6 Singapore AI Data Center,20.0,Equinix,Equinix,Asia,Singapore,Jurong,Singapore,Under construction,under_construction,Renewable,Renewable,Unknown,Unknown,,1.321,103.706,exact,https://www.straitstimes.com/business/equinix-to-invest-348m-in-new-ai-ready-data-centre-in-singapore
digital-realty-cyberjaya-malaysia,Digital Realty Cyberjaya (Malaysia),14.0,Digital Realty,Digital Realty,Asia,Malaysia,Cyberjaya,Cyberjaya,Operational,operational,Grid,Grid (Utility PPA),General cloud,Cloud and AI Interconnection,2026,2.923,101.657,exact,https://www.digitalrealty.com/news/expansion-malaysia-cyberjaya-data-center
datavolt-tashkent-ai-data-center-uzbekistan,DataVolt — Tashkent AI Data Center,12.0,DataVolt (Saudi Arabia),DataVolt (Saudi Arabia),Asia,Uzbekistan,Tashkent,Tashkent,Under construction,under_construction,Unknown,Unknown,Unknown,Unknown,,41.299,69.24,exact,https://mosaic-financial.uz/en/news/datavolt-to-build-green-data-center-in-uzbekistan
google-taipei-ai-engineering-hub,Google — Taipei AI Engineering Hub,10.0,Google,Google,Asia,Taiwan,Taipei,Taipei,Operational,operational,Unknown,Unknown,Unknown,Unknown,,25.033,121.565,exact,https://techbuzz.ai/google-opens-largest-ai-hardware-engineering-center-outside-the-us-in-taiwan/
airawat-ai-supercomputer-india,AIRAWAT AI Supercomputer (India),,Centre for Development of Advanced Computing (C-DAC),"Centre for Development of Advanced Computing (C-DAC); Ministry of Electronics and Information Technology, Government of India",Asia,India,"Pune, Maharashtra",Pune,Operational,operational,Grid,Grid (high-efficiency HPC facility),AI (unspecified),National AI research platform,2023,18.551,73.807,exact,https://www.cdac.in/index.aspx?id=pk_itn_spot1332;
