Company,Disclosure_date,Metric,Value_as_disclosed,Unit_as_disclosed,Normalized_value,Normalized_unit,Scope,Product_or_surface,Disclosure_context,Source_name,Source_link,Source_type,Methodology_reference,Plot_ID,Notes
Microsoft,2026-04-29,Customers on track to process 1 trillion tokens/year on Foundry,over 300,customers,approx. 300,trillion tokens/year implied floor from this cohort,Azure AI Foundry customers,Azure AI Foundry,"FY26 Q3 earnings call: over 300 customers on track to process over one trillion tokens on Foundry in the year, described as accelerating 30% quarter-on-quarter.",Microsoft — FY2026 Q3 earnings conference call,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,Company disclosure,§7.3 — Method 1,P-08,"'On track to' is a forward-looking framing, not a completed measurement. Lower bound only. Same gateway-attribution caveat as the FY25 Foundry figure."
Microsoft,"2026-07 (FY26 Q4, fiscal year ended 30 Jun 2026 — exact call date to be confirmed)",Foundry customers at 1 trillion token annualised run rate,increased 4x year-over-year,multiple (no absolute count given),Not stated,Not applicable — growth multiple only,Azure AI Foundry customers,Azure AI Foundry,"FY26 Q4 earnings call. Reports 100,000 Foundry customers with revenue more than doubling year-on-year, and states the number of Foundry customers at a one-trillion-token annualised run rate increased 4x year-on-year. No absolute token total is restated for FY26.",Microsoft — FY2026 Q4 earnings conference call,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4,Company disclosure,§7.3 — Method 1,,"NEWER THAN THE ANCHOR CURRENTLY USED IN THE METHODOLOGY DRAFT, which cites the FY25 Q4 500-trillion figure. Microsoft did not restate an absolute FY26 token total, so the 500-trillion FY25 figure remains the only absolute Microsoft token anchor available — but it should now be labelled as FY2025 rather than as current. Flagged as an open item."
Microsoft,2026-04-29,AI business annual revenue run rate,"$37 billion, up 123% year-on-year",USD annualised run rate (quarter ended 31 Mar 2026),Not converted,"Not applicable — revenue input, not a token figure",Microsoft AI business (bundled with adjacent cloud and software revenue),Multiple,"Q3 FY2026 earnings release. Reported alongside commercial remaining performance obligation of $627 billion, up 99%.",Microsoft — Q3 FY2026 earnings release,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,Investor report,§7.4 — Method 2; §13.4 — Supply-side validation,P-10,"Company financial disclosures of this kind bundle AI revenue with adjacent cloud or software revenue — useful as a floor and a growth signal, not as a clean AI-only figure, and not directly convertible to tokens without an API-only revenue split."
Anthropic,2026-05-28,Run-rate revenue,crossed $47 billion,USD annualised run rate (as at early/mid May 2026),Not converted,Not applicable — conversion blocked pending a price assumption,"Company-wide — all Claude revenue, not API-only","Claude API, Claude apps and Claude Code combined","Series H funding announcement ($65 billion raised at $965 billion post-money). States that run-rate revenue crossed $47 billion earlier in the month, following continued growth across global enterprise customers since the Series G in February 2026.",Anthropic — Series H funding announcement,https://www.anthropic.com/news/series-h,Company disclosure,§7.4 — Method 2; §7.16 — Open decision 3,"P-12, P-13","Anthropic is the principal Method 2 case: it discloses revenue but not tokens. Two blockers before conversion. First, run-rate is the most recent month multiplied by twelve, not audited annual revenue — at this growth rate the figure is stale within weeks. Second, scope is company-wide, so an API-only split is required before dividing by a per-token price. The price assumption itself is an unresolved open decision and moves the token estimate by the same factor it is wrong by. Trajectory context from the same source family: approx. $9bn at end-2025, $14bn Feb 2026, $30bn Apr 2026, $47bn May 2026."
Anthropic,2026-04-06,Run-rate revenue,surpassed $30 billion,USD annualised run rate,Not converted,"Not applicable — revenue input, not a token figure",Company-wide,Claude API and Claude apps,"Google and Broadcom partnership expansion announcement, which states run-rate revenue has surpassed $30 billion, up from approximately $9 billion at the end of 2025.",Anthropic — Google and Broadcom partnership announcement,https://www.anthropic.com/news,Company disclosure,§7.4 — Method 2,P-10,Source link points to the Anthropic newsroom index; the exact article URL was truncated in retrieval and should be completed before publication. Value and date corroborated by multiple independent secondary sources. Same company-wide scope caveat as the Series H row.
Salesforce,2026-05-27,"Tokens processed, cumulative to date",more than 28.6 trillion,"tokens, cumulative to date (as at quarter ended 30 Apr 2026)",approx. 9.6,trillion tokens added during the quarter (28.6 less 19.0 prior cumulative); approx. 38 trillion tokens/year annualised,Agentforce and Customer 360 agentic workloads,Agentforce,"Q1 FY2027 earnings press release and call. Reported as more than 28.6 trillion tokens processed to date, alongside Agentforce ARR passing $1 billion and combined AI and data ARR of $3.4 billion.",Salesforce — Q1 FY2027 earnings press release,https://www.salesforce.com/news/press-releases/2026/05/27/fy27-q1-earnings/,Company disclosure,"§14.4 — Agentic tokens, direct telemetry",P-47,"CUMULATIVE TO DATE, not a quarterly figure — several media outlets misreported it as tokens processed in the quarter. Salesforce states this is up 152% quarter-on-quarter, but the prior cumulative figure was approximately 19–20 trillion, which implies roughly +50% on a cumulative basis. The stated 152% therefore cannot refer to the cumulative series and is unreconciled — the quarterly increment above is derived, not disclosed. One of very few real production agent telemetry disclosures available."
Salesforce,2026-05-27,"Agentic Work Units delivered, cumulative to date",3.8 billion,"Agentic Work Units, cumulative to date","approx. 7,526",tokens per Agentic Work Unit (28.6 trillion / 3.8 billion),Agentforce agentic task completions,Agentforce,"Q1 FY2027 earnings. Reported as 3.8 billion Agentic Work Units delivered to date, up 111% quarter-on-quarter, presented as the unit of completed agent work derived from tokens processed.",Salesforce — Q1 FY2027 earnings press release,https://www.salesforce.com/news/press-releases/2026/05/27/fy27-q1-earnings/,Company disclosure,"§14.4 — Agentic tokens, direct telemetry",P-66,"The tokens-per-work-unit figure is derived by division, not disclosed. 'Agentic Work Unit' is a Salesforce-defined construct with no cross-vendor equivalent, so this ratio characterises routine CRM agent tasks specifically — long-horizon agent benchmarks run four orders of magnitude higher per task. Do not generalise it to agentic workloads at large."
Salesforce,2026-02-25,"Tokens processed, cumulative to date",19 trillion (headline) / nearly 20 trillion (CEO statement),"tokens, cumulative to date (as at fiscal year ended 31 Jan 2026)",19–20,trillion tokens cumulative,Agentforce agentic workloads,Agentforce,"Q4 FY2026 earnings press release, reported with 2.4 billion Agentic Work Units delivered to date and Agentforce ARR of $800 million.",Salesforce — Q4 FY2026 earnings press release,https://s205.q4cdn.com/626266368/files/doc_financials/2026/q4/CRM-Q4-FY26-Earnings-Press-Release.pdf,Company disclosure,"§14.4 — Agentic tokens, direct telemetry",,The release headline states 19 trillion all-time while the CEO quotation in the same document says nearly 20 trillion — a small internal inconsistency carried through as a range rather than resolved. Used as the prior period anchor for deriving the Q1 FY2027 quarterly increment.
Moonshot AI (Kimi),"2025 (Mooncake, USENIX FAST 2025)",Tokens processed daily,over 100 billion,tokens/day,3.04,trillion tokens/month (30.44-day basis); 36.5 trillion tokens/year,Kimi production serving platform,Kimi,Stated in the Mooncake paper describing Kimi's cache-centric disaggregated serving architecture. The same paper reports the design increased effective request capacity by 59–498% over baseline serving in its tests. Traces released alongside the code.,Mooncake (Moonshot AI / Kimi) — USENIX FAST 2025,https://www.usenix.org/conference/fast25,Research paper,§7.7 — Chinese-lab waterfall; §9.3 — Tier 1 production traces,"P-40, P-41","One of the very few quantified data points available for any Chinese lab, and therefore disproportionately valuable to the §7.7 waterfall. Published in a systems paper rather than a corporate disclosure, and dated 2025 — likely well below the current rate given sector growth. Treat as a floor."
DeepSeek,Not dated in current materials,Average user cost saving from context caching,over 50% on average,percent saving (user-reported),Not applicable,Not applicable — not a hit rate and not a token volume,DeepSeek API,DeepSeek API,DeepSeek's own documentation states that historical data shows users save over 50% on average through context caching. Independent developer reports across 2026 describe production cache-hit rates of 92–98% on coding-heavy DeepSeek workloads.,DeepSeek — official API documentation,https://api-docs.deepseek.com/,Official documentation,§9.5 — Tier 3 single-provider evidence,,A cost saving is not a cache-hit rate and must not be substituted for one. IMPORTANT NEGATIVE FINDING: a widely circulated claim of a precise DeepSeek-wide figure of 608 billion tokens with 342 billion cache hits (56.3%) could not be traced to any verifiable DeepSeek disclosure in this review and must not be used. Recorded here so the rejection is documented rather than silently repeated.
OpenRouter (measured by NBER WP 35451),2026,OpenRouter share of comparable API traffic,approximately 2%,percent of comparable API traffic,2,percent,"Comparable API and gateway traffic, global",OpenRouter gateway,"Independent academic estimate from the Yale/Cowles 'AI Premium' paper, built on licensed OpenRouter data.","Borri, Liu & Tsyvinski — 'AI Premium', NBER Working Paper 35451",https://arxiv.org/abs/2606.30583,Research paper,"§7.11 — Validation; §7.13 — Why OpenRouter, specifically",P-55,"This is the figure that disqualifies OpenRouter as a source of market level and confines it to shape. The internal bracketing exercise independently places OpenRouter at 3–8% of comparable API and gateway traffic — a different answer from a different method, which is itself informative about the width of the uncertainty."
Global market (estimated by NBER WP 35451),2026,Global inference token volume,60–84 quadrillion,tokens/year,60–84,quadrillion tokens/year,"Global, all providers",All surfaces,"Independent estimate constructed from licensed OpenRouter data, arriving at a global total by a different route than provider-by-provider summation.","Borri, Liu & Tsyvinski — 'AI Premium', NBER Working Paper 35451",https://arxiv.org/abs/2606.30583,Research paper,§7.11 — Validation; §7.14 — Putting it together,P-54,"The primary external cross-check on the bottom-up sum. The adopted headline range of 60–100 quadrillion with a central scenario of approximately 75 quadrillion sits deliberately across this independent range and the Method 1+2 floor. Both this estimate and the internal one lean on OpenRouter-derived structure, so their agreement is weaker evidence than full independence would provide."
OpenRouter (measured by NBER WP 35451),2026,Agentic share of gateway tokens,52.2% by final observed week (peak 59.3%),percent of total tokens,52.2,"percent of gateway tokens, measured on 380 trillion tokens","OpenRouter gateway traffic, global",OpenRouter gateway,"Measures tokens generated within tool-invoking (agentic) requests directly on 380 trillion OpenRouter tokens, finding the share rose from near zero in 2024 to 52.2% by the final observed week.","Borri, Liu & Tsyvinski — 'AI Premium', NBER Working Paper 35451",https://arxiv.org/abs/2606.30583,Research paper,§14.6 — Agentic share of inference tokens,P-47,"Directly measured rather than modelled, but on one developer- and coding-skewed gateway rather than the US enterprise market. Use as a directional input, not as a literal US enterprise percentage."
